Year,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Total
2023,469,10948,28,12889,4893,559,7924,4611,42321
2024,567,13463,42,15390,5725,640,9570,5475,50872
2025,664,16004,57,17854,6528,715,11202,6316,59340
2026,757,18483,72,20199,7272,781,12762,7102,67428
2027,843,20818,88,22350,7932,836,14196,7805,74868
2028,918,22938,103,24243,8489,878,15458,8400,81427
2029,980,24779,116,25824,8926,905,16511,8868,86909
2030,1027,26289,128,27053,9232,918,17323,9195,91165
2031,1056,27429,137,27904,9401,915,17875,9373,94090
2032,1069,28177,144,28365,9432,898,18157,9401,95643
2033,1063,28523,148,28438,9330,868,18172,9283,95825
2034,1041,28473,149,28139,9103,827,17929,9029,94690
2035,1004,28048,148,27496,8766,776,17449,8654,92341
